ruta,title,title_len,meta_description,desc_len,h1,issues
blog-consejos.html,Cocinas Integrales en Culiacán: 25 Consejos Profesionales para Diseñar la Cocina Perfecta,89,Guía completa con 25 consejos profesionales para diseñar cocinas integrales en Culiacán. ✓ Medidas ✓ Materiales ✓ Distribución ✓ Tips de expertos. WhatsApp: 667-225-6523,169,Blog de consejos para cocinas integrales,"title_gt60,desc_gt155"
blog/index.html,Blog Cocinas Integrales Culiacán - Consejos y Tendencias | ZASA,63,"Consejos prácticos para cocinas integrales en Culiacán: medidas, distribución en L y U, islas, cocinas pequeñas, materiales (cuarzo, granito, mármol), iluminación y presupuesto.",177,Blog de cocinas en Culiacán,"title_gt60,desc_gt155"
cocinas-integrales-chapalita.html,"Cocinas Integrales en Chapalita, Culiacán | Zasa Kitchen Studio",63,"Cocinas integrales en la colonia Chapalita, Culiacán. Diseños funcionales y elegantes. Cotiza tu cocina integral en Chapalita.",126,"Cocinas Integrales en Chapalita, Culiacán",title_gt60
cocinas-integrales-country-alamos.html,"Cocinas Integrales en Country Álamos, Culiacán | Zasa Kitchen Studio",68,"Cocinas integrales en Country Álamos, Culiacán. Diseños exclusivos para residencias de alto nivel. Cotiza tu cocina integral.",125,"Cocinas Integrales en Country Álamos, Culiacán",title_gt60
cocinas-integrales-tres-rios.html,"Cocinas Integrales en Tres Ríos, Culiacán | Zasa Kitchen Studio",63,"Cocinas integrales en la colonia Tres Ríos, Culiacán. Diseño personalizado para residencias premium. Cotiza tu cocina integral en Tres Ríos.",140,"Cocinas Integrales en Tres Ríos, Culiacán",title_gt60
cocinas-pequenas.html,Cocinas Pequeñas en Culiacán | Espacios Compactos | ZASA Kitchen,64,Especialistas en cocinas pequeñas en Culiacán. ✓ Bajo escaleras ✓ Espacios reducidos ✓ Almacenamiento vertical ✓ 15 días entrega. WhatsApp: 667-225-6523,152,Cocinas pequeñas que aprovechan cada centímetro,title_gt60
contacto/index.html,Contacto ZASA Kitchen Studio - Cotización Gratuita Cocinas Culiacán,67,"Contacto ZASA Kitchen Studio Culiacán: Medición y cotización GRATUITA para tu cocina integral. Ubicados en Buelna Tenorio 750, atendemos toda la zona metropolitana. Horarios: Lun-Vie 9am-7pm, Sáb 9am-2pm. WhatsApp 667-225-6523, llamadas, visitas al showroom. Diseño 3D sin compromiso en 24-48 horas.",299,Contáctanos,"title_gt60,desc_gt155"
index.html,Cocinas Integrales en Culiacán | Diseño y Fabricación | ZASA Kitchen,68,Diseñamos y fabricamos cocinas integrales modernas en Culiacán. ✓ Cuarzo y granito ✓ 15 días entrega ✓ Garantía 5 años. WhatsApp: 667-225-6523,142,Cocinas integrales y modernas en Culiacán,title_gt60
partials/jsonld_localbusiness.html,,0,,0,,"missing_title,missing_desc,title_lt35,desc_lt90"
partials/jsonld_website.html,,0,,0,,"missing_title,missing_desc,title_lt35,desc_lt90"
proyectos-culiacan/centro.html,"Cocina Integral Centro Histórico Culiacán, Sinaloa | Zasa Kitchen Studio",72,"Cocina integral urbana en Centro Histórico de Culiacán, Sinaloa. Diseño adaptado a edificios coloniales con funcionalidad moderna y materiales duraderos.",153,Cocina Integral Centro Histórico,title_gt60
proyectos-culiacan/chapultepec.html,"Proyecto Cocina Integral en Chapultepec, Culiacán | Zasa Kitchen Studio",71,"Cocina integral clásica en Chapultepec, Culiacán. Diseño elegante con toques tradicionales y funcionalidad moderna. Ver proyecto completo.",138,Proyecto Chapultepec,title_gt60
