ruta,seccion,slot_tipo,proporcion,tamaño_minimo,archivo_sugerido,alt_pendiente,prioridad
index.html,hero,hero-image-slot,16:9,1920x1080,hero-zasa-cocinas.jpg,Cocina integral moderna ZASA Kitchen Studio Culiacán,alta
index.html,servicios,gallery-image-slot,4:3,800x600,cocina-integral-featured.jpg,Cocina integral moderna destacada,alta
servicios/cocinas/cocinas-integrales.html,hero,hero-image-slot,16:9,1920x1080,hero-cocinas-integrales.jpg,Cocinas integrales en Culiacán diseño a medida,alta
servicios/cocinas/cocinas-integrales.html,hero-logo,hero-image-slot,16:9,400x225,logo-hero-cocinas-integrales.jpg,Logo ZASA cocinas integrales,media
servicios/cocinas/cocinas-integrales.html,proceso,hero-image-slot,16:9,800x450,proceso-cocinas-integrales.jpg,Proceso fabricación cocinas integrales,media
servicios/cocinas/cocinas-integrales.html,beneficios,card-image-slot,1:1,300x300,beneficios-cocinas-card.jpg,Beneficios cocinas integrales ZASA,media
servicios/cocinas/cocinas-integrales.html,materiales,gallery-image-slot,4:3,600x450,materiales-cocinas-integrales.jpg,Materiales premium cocinas integrales,media
servicios/cocinas/cocinas-modernas.html,hero,hero-image-slot,16:9,1920x1080,hero-cocinas-modernas.jpg,Cocinas modernas Culiacán líneas limpias,alta
servicios/cocinas/cocinas-modernas.html,hero-content,hero-image-slot,16:9,800x450,cocinas-modernas-estilo.jpg,Estilo moderno cocinas contemporáneas,media
servicios/cocinas/cocinas-modernas.html,rasgos,card-image-slot,1:1,300x300,rasgos-modernos-card.jpg,Rasgos modernos cocinas ZASA,media
servicios/cocinas/cocinas-modernas.html,inspiracion,gallery-image-slot,4:3,600x450,inspiracion-cocinas-modernas.jpg,Inspiración cocinas modernas,media
proyectos-culiacan/tres-rios.html,hero,hero-image-slot,16:9,1920x1080,proyecto-tres-rios-hero.jpg,Proyecto cocina integral premium Tres Ríos,alta
proyectos-culiacan/tres-rios.html,resumen,hero-image-slot,16:9,800x450,tres-rios-resumen.jpg,Resumen proyecto cocina Tres Ríos,media
proyectos-culiacan/tres-rios.html,detalles,card-image-slot,1:1,300x300,tres-rios-detalles.jpg,Detalles proyecto Tres Ríos,media
proyectos-culiacan/tres-rios.html,galeria-1,gallery-image-slot,4:3,800x600,tres-rios-antes.jpg,Estado inicial cocina Tres Ríos,alta
proyectos-culiacan/tres-rios.html,galeria-2,gallery-image-slot,4:3,800x600,tres-rios-proceso.jpg,Proceso instalación cocina Tres Ríos,alta
proyectos-culiacan/tres-rios.html,galeria-3,gallery-image-slot,4:3,800x600,tres-rios-final.jpg,Resultado final cocina premium Tres Ríos,alta
proyectos-culiacan/tres-rios.html,galeria-adicional,gallery-image-slot,4:3,800x600,tres-rios-detalle.jpg,Detalle acabados premium Tres Ríos,media
proyectos-culiacan/benevento.html,hero,hero-image-slot,16:9,1920x1080,proyecto-benevento-hero.jpg,Proyecto cocina integral Benevento,alta
proyectos-culiacan/benevento.html,resumen,hero-image-slot,16:9,800x450,benevento-resumen.jpg,Resumen proyecto cocina Benevento,media
proyectos-culiacan/benevento.html,detalles,card-image-slot,1:1,300x300,benevento-detalles.jpg,Detalles proyecto Benevento,media
proyectos-culiacan/benevento.html,galeria-1,gallery-image-slot,4:3,800x600,benevento-antes.jpg,Estado inicial cocina Benevento,alta
proyectos-culiacan/benevento.html,galeria-2,gallery-image-slot,4:3,800x600,benevento-proceso.jpg,Proceso instalación cocina Benevento,alta
proyectos-culiacan/benevento.html,galeria-3,gallery-image-slot,4:3,800x600,benevento-final.jpg,Resultado final cocina Benevento,alta
proyectos-culiacan/benevento.html,galeria-adicional,gallery-image-slot,4:3,800x600,benevento-detalle.jpg,Detalle acabados Benevento,media
